normalized_number,name,category,source,city,url,source_confidence
+79872242555,"Стоматологические клиники и центры в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79872300770,"Стоматологические клиники и центры в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79872352121,"Медцентры и клиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872381347,"Стоматологические клиники и центры в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79872488087,"Медцентры и клиники в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872500739,"Медцентры и клиники в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872540108,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79872540909,"Медцентры и клиники в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872541594,"Медцентры и клиники в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872547779,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79872900397,"Медцентры и клиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872960930,"Медцентры и клиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872969900,"Медцентры и клиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/medtsentryi-i-kliniki/,0.70
+79872988991,"Стоматологические поликлиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79874986022,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79876146267,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79881990174,Медицинский центр Здоровье на улице Ленина в Динской,medical,zoon,krasnodar,https://zoon.ru/krasnodar/medical/,0.70
+79881997706,Стоматологическая клиника ОРТОДОНТиЯ на улице имени 40-летия Победы,medical,zoon,krasnodar,https://zoon.ru/krasnodar/medical/,0.70
+79881998457,Медицинский центр МедЭксперт на улице Коммунаров,medical,zoon,krasnodar,https://zoon.ru/krasnodar/medical/,0.70
+79882403311,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79882403339,"Диагностические центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79882422911,"Диагностические центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79882443008,"Медцентры и клиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/medtsentryi-i-kliniki/,0.85
+79882446524,"Медцентры и клиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/medtsentryi-i-kliniki/,0.85
+79882451020,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79882474788,"Диагностические центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79882485875,Центр имплантации и стоматологии МИА.РФ на улице имени Калинина,medical,zoon,krasnodar,https://zoon.ru/krasnodar/medical/,0.70
+79882488011,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79882489999,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79883200909,"Аптеки в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/apteki/,0.70
+79883495931,"Аптеки в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/apteki/,0.70
+79883657345,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79885099003,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79886036888,"Аптеки в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/apteki/,0.70
+79888888558,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79891031967,"Стоматологические поликлиники в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79891220065,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79891988835,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79892030303,"Стоматологические поликлиники в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79892300330,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79892339998,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79892794633,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79892809922,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79892853355,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79898088802,"Стоматологические поликлиники в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79898150717,Клиника эстетической медицины и косметологии Родинка,medical,zoon,krasnodar,https://zoon.ru/krasnodar/beauty/,0.70
+79898362385,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79910180733,Эстетическая стоматология ЭстетикАрт на улице Чапаева на метро Чкаловская,medical,zoon,ekb,https://zoon.ru/ekb/medical/,0.70
+79912003916,"Стоматологические поликлиники в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79913925544,"Стоматологические поликлиники в Казани - адреса, телефоны и отзывы",medical,spravker,kzn,https://kazan.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79918013833,"Медцентры и клиники в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/medtsentryi-i-kliniki/,0.70
+79918538607,"Стоматологические поликлиники в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79918538918,"Стоматологические поликлиники в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79918539109,Медицинский центр Familia на улице Молодогвардейцев,medical,zoon,chelyabinsk,https://zoon.ru/chelyabinsk/medical/,0.70
+79923200836,"Диагностические центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79923333430,"Стоматологические поликлиники в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79925221939,"Больницы в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/bolnicy/,0.70
+79930404546,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79932093717,"Стоматологические поликлиники в Санкт-Петербурге - адреса, телефоны и отзывы",medical,spravker,spb,https://spb.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79932208787,"Стоматологические поликлиники в Санкт-Петербурге - адреса, телефоны и отзывы",medical,spravker,spb,https://spb.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79932973477,"Стоматологические поликлиники в Воронеже - адреса, телефоны и отзывы",medical,spravker,voronezh,https://voronezh.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79939925827,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79942514523,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79945002470,Стоматологическая клиника ЭстетикАрт на улице Викулова,medical,zoon,ekb,https://zoon.ru/ekb/medical/,0.70
+79945037589,"Стоматологические поликлиники в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79945057297,"Стоматологические клиники и центры в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79952224224,"Больницы в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/bolnicy/,0.70
+79953338105,"Аптеки в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/apteki/,0.70
+79953348139,"Медцентры и клиники в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/medtsentryi-i-kliniki/,0.70
+79955395539,"Стоматологические поликлиники в Воронеже - адреса, телефоны и отзывы",medical,spravker,voronezh,https://voronezh.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79961052257,"Медцентры и клиники в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/medtsentryi-i-kliniki/,0.70
+79961646060,"Диагностические центры в Воронеже - адреса, телефоны и отзывы",medical,spravker,voronezh,https://voronezh.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79961808028,"Диагностические центры в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79961883090,"Стоматологические поликлиники в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79992926500,"Больницы в Челябинске - адреса, телефоны и отзывы",medical,spravker,chelyabinsk,https://chelyabinsk.spravker.ru/bolnicy/,0.70
+79993957788,"Стоматологические клиники и центры в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79994149949,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79994280433,Многопрофильная клиника Medeast,medical,zoon,krasnodar,https://zoon.ru/krasnodar/medical/,0.70
+79994449708,"Аптеки в Москве - адреса, телефоны и отзывы",medical,spravker,msk,https://msk.spravker.ru/apteki/,0.70
+79995600465,"Стоматологические поликлиники в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/stomatologicheskie-polikliniki/,0.70
+79995601123,"Стоматологические клиники и центры в Екатеринбурге - адреса, телефоны и отзывы",medical,spravker,ekb,https://ekaterinburg.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79996226734,"Стоматологические клиники и центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79996363387,"Стоматологические клиники и центры в Краснодаре - адреса, телефоны и отзывы",medical,spravker,krasnodar,https://krasnodar.spravker.ru/stomatologicheskie-kliniki-i-tsentryi/,0.70
+79997632233,"Диагностические центры в Уфе - адреса, телефоны и отзывы",medical,spravker,ufa,https://ufa.spravker.ru/diagnosticheskie-tsentryi/,0.70
+79999933131,Медицинский центр МедикАСС на Ленинградской улице,medical,zoon,voronezh,https://zoon.ru/voronezh/medical/,0.70
+73432000131,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432002888,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432006088,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432006316,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432020218,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432062611,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432063582,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432144595,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432159804,Лазертаг Портал-66 в ТЦ Свердловск,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73432193800,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432220101,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432241088,Компания по организации квестов и праздников Место Пряток,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73432260818,"Сервисный центр Искра сервис на Профсоюзной улице, 45",other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432261348,Сервисный центр СБТ Сервис на улице Стачек,other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432261358,Сервисный центр Знак качества на улице Академика Бардина,other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432261373,Сервисный центр Искра сервис на Надеждинской улице,other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432451502,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432510295,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432535306,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432575600,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432662030,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432662032,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432693252,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432706096,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432830000,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432861234,Екатеринбургский зоопарк на улице Мамина-Сибиряка,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73432879434,"Центр помощи студентам ""Успешная сессия""",other,zoon,ekb,https://zoon.ru/ekb/education/,0.70
+73432890257,"Сервисный центр Сервис Всем на улице Хомякова, 12",other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432890398,"Сервисный центр Квант сервис на улице Бебеля, 156",other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73432890417,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432892287,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73432894488,Гончарная мастерская Ёлка,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73432981091,Сервисный центр Грит сервис на улице Тверитина,other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73433015505,Детский развлекательный центр Планета ИГРиК на улице Щербакова,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433017400,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433017800,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433020629,Студия детских праздников Домми,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433021843,Аквапарк Лимпопо на улице Щербакова,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433052017,Екатеринбургский центральный парк культуры и отдыха им. В.В. Маяковского,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433100091,Сервисный центр РемЭвм,other,zoon,ekb,https://zoon.ru/ekb/repair/,0.70
+73433114153,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433171633,Океанариум на улице Щербакова,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433172290,Екатеринбургский техникум отраслевых технологий и сервиса на улице Учителей,other,zoon,ekb,https://zoon.ru/ekb/education/,0.70
+73433174174,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433182518,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433281683,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433282181,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433282292,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433289482,Батутный парк ОТРЫВ на улице Щербакова,other,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433394171,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433450131,"Установка пластиковых окон в Екатеринбурге - адреса, телефоны и отзывы",other,spravker,ekb,https://ekaterinburg.spravker.ru/okna/,0.70
+73433451145,Центр помощи студентам Ресурс,other,zoon,ekb,https://zoon.ru/ekb/education/,0.70
