isContact,isRussianNumber,isForeignNumber,isShortCode,prefixRisk,callFrequency,isNightTime,recentBankApp,recentGovApp,recentMarketplaceApp,recentMessengerApp,previouslyRejected,inBlacklist,inAllowlist,hiddenNumber,callerVerifyFailed,userVulnerability,userBusinessActivity,contactsAvailable,usageAccessAvailable,label
0.0,1.0,0.0,0.0,0.2,0.6445727406243786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12455263124902075,0.16790092286019637,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.8567368775170342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5019054600135906,0.2687563635520302,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.7015894077287578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16033581576823938,0.5668281698341884,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.668988894025281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14839870655462534,0.23679186917420253,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.6990566357780069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35449373557078684,0.35656976390933365,1.0,1.0,0
1.0,1.0,0.0,0.0,0.2,0.7865440704684715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5231644188928585,0.6529188357839718,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.6498504523508057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26425295819996875,0.5055817289509469,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.5017198926643418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41488677133909907,0.34831894285883425,1.0,0.0,0
1.0,1.0,0.0,0.0,0.2,0.7167458133280322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22940575633884455,0.4846086866927112,1.0,1.0,0
1.0,1.0,0.0,0.0,0.2,0.7035028226567283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39336723834410925,0.3849520956539149,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.6917411845974781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4447021377460679,0.289479409539775,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.8033912627214992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11948242613014669,0.6367868884212322,1.0,1.0,0
0.0,1.0,0.0,0.0,0.2,0.6249080656930177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09054607133473823,0.6841860227168913,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.4591228063261893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20139145879541773,0.5150604459656163,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.7353547301578774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16050638865164704,0.36795849196957847,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.9425163895376896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2237751257546528,0.1845622680864572,1.0,0.0,0
0.0,1.0,0.0,0.0,0.2,0.7286880782198395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4258853464122673,0.23043338508662722,1.0,0.0,0
1.0,1.0,0.0,0.0,0.1,0.9484651109007955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2031552569085217,0.5269182595960168,1.0,0.0,0
0.0,1.0,0.0,0.0,0.1,0.7663508948501393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05008871404175602,0.20111442498818505,1.0,0.0,0
0.0,1.0,0.0,0.0,0.1,0.3759686720364148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21581192212292197,0.5713409591563258,1.0,1.0,0
0.0,1.0,0.0,0.0,0.1,0.957868448206527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2955412005794506,0.4900467352139683,1.0,0.0,0
0.0,1.0,0.0,0.0,0.1,0.9398381896287724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46916780667310926,0.36708665596093887,1.0,1.0,0
1.0,1.0,0.0,0.0,0.1,0.6625674040774104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25036812515522017,0.7905329554228854,1.0,0.0,0
